"","TEAM_ABBREVIATION","ADV_TEAM_ABREVIATION","START_POSITION","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS","RCK","WIN"
"4880","ORL","PHX","Forward",1666,3,9,0,1,1,2,2,2,1,2,1,1,0,7,6,"NoRookie","Win"
"4881","ORL","PHX","Forward",2012,13,15,5,5,1,2,0,5,5,1,0,1,1,32,12,"NoRookie","Win"
"4882","ORL","PHX","Center",1718,3,4,0,0,1,2,4,5,2,1,0,1,2,7,0,"NoRookie","Win"
"4883","ORL","PHX","Guard",1651,9,15,3,7,0,0,1,1,4,1,0,4,3,21,1,"NoRookie","Win"
"4884","ORL","PHX","Guard",1574,6,12,0,0,1,1,0,4,5,0,1,1,1,13,4,"NoRookie","Win"
"4885","ORL","PHX","Not Started",1587,2,8,1,4,6,6,1,2,7,1,0,3,1,11,23,"NoRookie","Win"
"4886","ORL","PHX","Not Started",1336,7,14,3,6,5,5,0,3,1,2,0,2,4,22,18,"NoRookie","Win"
"4887","ORL","PHX","Not Started",1127,2,2,0,0,0,0,0,2,2,0,1,0,1,4,20,"NoRookie","Win"
"4888","ORL","PHX","Not Started",155,0,1,0,0,1,2,0,1,0,0,0,3,0,1,-7,"NoRookie","Win"
"4889","PHX","ORL","Not Started",1086,2,6,1,1,0,0,0,1,7,2,0,5,0,5,-16,"Rookie","Lose"
"4890","PHX","ORL","Not Started",1506,5,8,2,4,3,5,0,1,1,0,0,1,2,15,-14,"Rookie","Lose"
"4891","PHX","ORL","Not Started",1495,4,9,4,6,0,0,0,1,1,1,0,1,4,12,-12,"Rookie","Lose"
"4892","PHX","ORL","Not Started",1082,0,3,0,1,0,0,0,2,4,1,0,0,2,0,-9,"Rookie","Lose"
"4893","PHX","ORL","Not Started",288,1,2,0,1,2,2,0,0,2,0,0,0,0,4,8,"Rookie","Lose"
"4894","ORL","PHX","Not Started",1109,4,4,2,2,0,0,3,8,0,1,4,3,3,10,14,"Rookie","Win"
"4895","ORL","PHX","Not Started",155,0,0,0,0,0,0,0,1,0,0,0,0,2,0,-7,"Rookie","Win"
"4896","ORL","PHX","Not Started",155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,"Rookie","Win"
"4897","ORL","PHX","Not Started",155,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-7,"Rookie","Win"
"4898","MIL","DET","Forward",1529,6,12,2,4,3,3,0,8,5,1,0,0,1,17,19,"NoRookie","Win"
"4899","MIL","DET","Forward",1675,12,21,4,8,7,9,3,6,0,0,2,2,2,35,17,"NoRookie","Win"
"4900","MIL","DET","Center",1086,1,3,1,2,2,2,0,6,0,1,3,2,2,5,3,"NoRookie","Win"
"4901","MIL","DET","Guard",1034,3,6,0,3,2,2,0,1,2,1,0,1,1,8,9,"NoRookie","Win"
"4902","MIL","DET","Guard",1604,6,11,1,2,0,0,1,5,6,0,1,1,0,13,14,"NoRookie","Win"
"4903","MIL","DET","Not Started",1109,4,6,2,3,0,0,2,0,0,0,1,1,3,10,5,"NoRookie","Win"
"4904","MIL","DET","Not Started",1068,2,5,1,2,0,0,1,2,3,1,1,2,0,5,1,"NoRookie","Win"
"4905","MIL","DET","Not Started",893,0,2,0,0,3,3,1,3,3,0,0,2,0,3,6,"NoRookie","Win"
"4906","MIL","DET","Not Started",939,4,10,0,3,2,2,1,3,1,2,0,0,1,10,10,"NoRookie","Win"
"4907","MIL","DET","Not Started",1220,2,3,2,3,3,3,0,1,1,0,0,1,4,9,17,"NoRookie","Win"
"4908","MIL","DET","Not Started",951,2,5,1,2,1,1,1,4,1,0,0,0,3,6,13,"NoRookie","Win"
"4910","DET","MIL","Forward",1605,3,6,1,4,0,0,0,1,2,0,0,0,3,7,-22,"NoRookie","Lose"
"4911","DET","MIL","Forward",1849,4,17,2,8,6,8,0,10,3,0,0,3,3,16,-8,"NoRookie","Lose"
"4912","DET","MIL","Center",1974,11,17,0,1,1,4,5,9,5,2,3,3,3,23,-7,"NoRookie","Lose"
"4913","DET","MIL","Not Started",2260,7,10,4,5,2,3,0,1,1,0,0,0,2,20,-7,"NoRookie","Lose"
"4914","DET","MIL","Not Started",1519,6,15,0,3,2,2,0,2,5,1,0,1,0,14,-8,"NoRookie","Lose"
"4915","DET","MIL","Not Started",921,1,5,1,3,2,2,1,2,1,0,0,2,3,5,-15,"NoRookie","Lose"
"4916","DET","MIL","Not Started",855,3,6,0,2,1,3,2,2,1,0,0,1,1,7,-15,"NoRookie","Lose"
"4917","DET","MIL","Not Started",161,2,2,1,1,0,0,0,0,0,0,0,0,0,5,-3,"NoRookie","Lose"
"4918","DET","MIL","Not Started",161,0,1,0,1,0,0,0,1,2,0,0,0,0,0,-3,"NoRookie","Lose"
"4920","MIL","DET","Not Started",1294,2,6,0,3,2,2,0,6,3,1,0,2,1,6,6,"Rookie","Win"
"4921","DET","MIL","Guard",1657,2,8,2,6,0,0,0,1,3,1,0,0,1,6,-16,"Rookie","Lose"
"4922","DET","MIL","Guard",1277,0,6,0,2,0,0,1,2,2,1,0,1,2,0,-13,"Rookie","Lose"
"4923","DET","MIL","Not Started",161,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,"Rookie","Lose"
"4924","GSW","CHA","Forward",1476,2,6,0,2,1,2,0,3,6,3,0,3,4,5,-3,"NoRookie","Lose"
"4925","GSW","CHA","Center",1077,3,4,0,0,2,4,2,5,0,1,2,1,1,8,-8,"NoRookie","Lose"
"4926","GSW","CHA","Guard",1818,4,10,0,1,0,0,0,2,0,0,0,0,1,8,-7,"NoRookie","Lose"
"4927","GSW","CHA","Guard",1488,7,14,3,8,1,1,0,2,2,0,0,2,1,18,-1,"NoRookie","Lose"
"4928","GSW","CHA","Not Started",1813,6,7,2,3,1,1,0,4,4,2,0,1,1,15,-9,"NoRookie","Lose"
"4929","GSW","CHA","Not Started",888,0,2,0,0,2,2,0,4,0,0,0,1,0,2,-8,"NoRookie","Lose"
"4930","GSW","CHA","Not Started",739,3,8,0,0,1,3,3,0,1,0,0,0,2,7,-8,"NoRookie","Lose"
"4931","CHA","GSW","Center",1054,1,3,0,0,0,0,0,4,1,0,1,0,5,2,0,"NoRookie","Win"
"4932","CHA","GSW","Guard",2139,10,20,5,14,0,0,0,7,7,3,0,2,1,25,14,"NoRookie","Win"
"4933","CHA","GSW","Not Started",1487,1,2,1,2,0,0,2,3,4,2,2,0,0,3,15,"NoRookie","Win"
"4934","CHA","GSW","Not Started",1058,4,9,0,1,0,0,3,2,0,0,0,4,4,8,9,"NoRookie","Win"
"4935","CHA","GSW","Not Started",1641,2,4,0,2,0,0,0,3,1,2,1,0,1,4,12,"NoRookie","Win"
